,Date,Position,Track Name,Artist,Featured Artists
367,2017-02-10,31,Like That,Rytmeklubben,
368,2017-02-10,41,Lotus - Original Mix,Purporangejuice,
369,2017-02-11,44,All We Know (Acoustic) [feat. Aeryn],Synchronice,
370,2017-02-11,50,Immortal,STREET LIGHT,
371,2017-02-12,23,Let's Go Crazy,Prince,
372,2017-02-12,28,Purple Rain,Prince,
373,2017-02-12,42,Hostage,Griffin Oskar,
374,2017-02-13,2,Don't Kill My Vibe,Sigrid,
375,2017-02-13,4,Chained To The Rhythm,"Katy Perry, Skip Marley",
376,2017-02-13,6,When Doves Cry,Prince,
377,2017-02-13,10,I Would Die 4 U,Prince,
378,2017-02-13,12,I Love You,"Axwell /\ Ingrosso, Kid Ink",
379,2017-02-13,15,Raspberry Beret,Prince,
380,2017-02-13,16,I Wanna Be Your Lover,Prince,
381,2017-02-13,17,Kiss,Prince,
382,2017-02-13,18,Erotic City,Prince,
383,2017-02-13,19,Dab of Ranch - Recorded at Spotify Studios NYC,"Migos, DJ Durel",
384,2017-02-13,23,We're in This Love Together,Al Jarreau,
385,2017-02-13,24,Pop Life,Prince,
386,2017-02-13,28,"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","Nick Jonas, Nicki Minaj",
387,2017-02-13,30,Spring Day,BTS,
388,2017-02-13,31,Fractures (feat. Nevve),ILLENIUM,Nevve
389,2017-02-13,32,The Beautiful Ones,Prince,
390,2017-02-13,33,Grandma's Car (feat. Stu da Boi),Ryon's World,Stu da Boi
391,2017-02-13,35,Not Today,BTS,
392,2017-02-13,37,"The Scientist - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Corinne Bailey Rae,
393,2017-02-13,38,Little Red Corvette - Single Version,Prince,
394,2017-02-13,39,Cool Your Heart,"Dirty Projectors, Dawn Richard",
395,2017-02-13,41,Darling Nikki,Prince,
396,2017-02-13,42,Bambi,Jidenna,
397,2017-02-13,43,"Pray - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","JRY, RuthAnne",
398,2017-02-13,49,1999,Prince,
399,2017-02-13,50,Diamonds and Pearls,Prince,
400,2017-02-14,1,Smell Yo D*ck,"Riskay, Aviance, Real",
401,2017-02-14,22,Adore,Prince,
402,2017-02-14,26,"Diamonds, Girl",El May,
403,2017-02-14,30,7,Prince,
404,2017-02-14,38,Ol' Sweet Day,AHI,
405,2017-02-14,41,Sexy M.F.,Prince,
406,2017-02-14,45,Sign 'O' the Times,Prince,
407,2017-02-14,46,Batdance,Prince,
408,2017-02-14,50,Nothing Compares 2 U (feat. Rosie Gaines) - Live,Prince,Rosie Gaines
409,2017-02-15,4,Easy,Mac Ayres,
410,2017-02-15,8,Go Honey,LUWTEN,
411,2017-02-15,11,One Chick,Sondai,
412,2017-02-15,12,Coming to U Live,Young Clancy,
413,2017-02-15,38,Mornin',Al Jarreau,
414,2017-02-15,39,Light,Alex Lustig,
415,2017-02-15,46,What If,Adam Friedman,
416,2017-02-15,47,Controversy,Prince,
417,2017-02-16,11,Firefight,Tommy,
